,Profit,Profit,Profit,Profit,Total_Cost,Revenue
,mean,median,std,count,mean,mean
Order_Hour,,,,,,
10,-86.57815586525385,-82.68293396420395,38.82509752158003,75,186.57815586525385,100.0
11,-88.52945343592386,-88.287025772238,42.1241336357391,69,188.52945343592384,100.0
12,-92.56295499623852,-86.34446113812459,39.28134123207397,84,192.56295499623852,100.0
13,-91.51114185355209,-84.14071213825858,46.117874505001474,101,191.5111418535521,100.0
14,-93.74573844809204,-94.82555259620793,37.62394576232937,73,193.74573844809203,100.0
15,-94.08796516286425,-100.68731110728964,43.738542200814024,89,194.08796516286424,100.0
16,-88.35127653291003,-90.93473860391728,44.45191286219189,77,188.35127653291005,100.0
17,-87.66889356111791,-80.25441422548474,39.17070096359075,86,187.66889356111793,100.0
18,-96.81811112234017,-96.28841677686432,41.16119815883421,93,196.81811112234018,100.0
19,-91.61811783351855,-87.27921175652452,44.94515703965788,77,191.61811783351854,100.0
20,-86.22743236522766,-88.52423401644641,39.414306731382645,88,186.22743236522766,100.0
21,-91.02269701925513,-85.07668039029042,40.50227220880545,88,191.02269701925513,100.0
